email,password,fullName
loadtest1@justchat.test,TestPass123!,Load Test User 1
loadtest2@justchat.test,TestPass123!,Load Test User 2
loadtest3@justchat.test,TestPass123!,Load Test User 3
loadtest4@justchat.test,TestPass123!,Load Test User 4
loadtest5@justchat.test,TestPass123!,Load Test User 5
loadtest6@justchat.test,TestPass123!,Load Test User 6
loadtest7@justchat.test,TestPass123!,Load Test User 7
loadtest8@justchat.test,TestPass123!,Load Test User 8
loadtest9@justchat.test,TestPass123!,Load Test User 9
loadtest10@justchat.test,TestPass123!,Load Test User 10
loadtest11@justchat.test,TestPass123!,Load Test User 11
loadtest12@justchat.test,TestPass123!,Load Test User 12
loadtest13@justchat.test,TestPass123!,Load Test User 13
loadtest14@justchat.test,TestPass123!,Load Test User 14
loadtest15@justchat.test,TestPass123!,Load Test User 15
loadtest16@justchat.test,TestPass123!,Load Test User 16
loadtest17@justchat.test,TestPass123!,Load Test User 17
loadtest18@justchat.test,TestPass123!,Load Test User 18
loadtest19@justchat.test,TestPass123!,Load Test User 19
loadtest20@justchat.test,TestPass123!,Load Test User 20
loadtest21@justchat.test,TestPass123!,Load Test User 21
loadtest22@justchat.test,TestPass123!,Load Test User 22
loadtest23@justchat.test,TestPass123!,Load Test User 23
loadtest24@justchat.test,TestPass123!,Load Test User 24
loadtest25@justchat.test,TestPass123!,Load Test User 25
loadtest26@justchat.test,TestPass123!,Load Test User 26
loadtest27@justchat.test,TestPass123!,Load Test User 27
loadtest28@justchat.test,TestPass123!,Load Test User 28
loadtest29@justchat.test,TestPass123!,Load Test User 29
loadtest30@justchat.test,TestPass123!,Load Test User 30
loadtest31@justchat.test,TestPass123!,Load Test User 31
loadtest32@justchat.test,TestPass123!,Load Test User 32
loadtest33@justchat.test,TestPass123!,Load Test User 33
loadtest34@justchat.test,TestPass123!,Load Test User 34
loadtest35@justchat.test,TestPass123!,Load Test User 35
loadtest36@justchat.test,TestPass123!,Load Test User 36
loadtest37@justchat.test,TestPass123!,Load Test User 37
loadtest38@justchat.test,TestPass123!,Load Test User 38
loadtest39@justchat.test,TestPass123!,Load Test User 39
loadtest40@justchat.test,TestPass123!,Load Test User 40
loadtest41@justchat.test,TestPass123!,Load Test User 41
loadtest42@justchat.test,TestPass123!,Load Test User 42
loadtest43@justchat.test,TestPass123!,Load Test User 43
loadtest44@justchat.test,TestPass123!,Load Test User 44
loadtest45@justchat.test,TestPass123!,Load Test User 45
loadtest46@justchat.test,TestPass123!,Load Test User 46
loadtest47@justchat.test,TestPass123!,Load Test User 47
loadtest48@justchat.test,TestPass123!,Load Test User 48
loadtest49@justchat.test,TestPass123!,Load Test User 49
loadtest50@justchat.test,TestPass123!,Load Test User 50
loadtest51@justchat.test,TestPass123!,Load Test User 51
loadtest52@justchat.test,TestPass123!,Load Test User 52
loadtest53@justchat.test,TestPass123!,Load Test User 53
loadtest54@justchat.test,TestPass123!,Load Test User 54
loadtest55@justchat.test,TestPass123!,Load Test User 55
loadtest56@justchat.test,TestPass123!,Load Test User 56
loadtest57@justchat.test,TestPass123!,Load Test User 57
loadtest58@justchat.test,TestPass123!,Load Test User 58
loadtest59@justchat.test,TestPass123!,Load Test User 59
loadtest60@justchat.test,TestPass123!,Load Test User 60
loadtest61@justchat.test,TestPass123!,Load Test User 61
loadtest62@justchat.test,TestPass123!,Load Test User 62
loadtest63@justchat.test,TestPass123!,Load Test User 63
loadtest64@justchat.test,TestPass123!,Load Test User 64
loadtest65@justchat.test,TestPass123!,Load Test User 65
loadtest66@justchat.test,TestPass123!,Load Test User 66
